Tipo,Rubro,Subregion,Año,Municipio,Área Total,Área Producción,Volumen Producción
Permanentes,Agraz - Mortiño,Norte,2015,Santa Rosa De Osos,3.40,3.00,6.00
Permanentes,Agraz - Mortiño,Norte,2015,San Andrés De Cuerquia,4.00,0.00,0.00
Permanentes,Agraz - Mortiño,Norte,2015,Entrerríos,2.50,1.00,1.00
Permanentes,Agraz - Mortiño,Norte,2015,Don Matías,1.00,0.00,0.00
Permanentes,Aguacate,Suroeste,2015,Andes,15.00,12.00,60.00
Permanentes,Aguacate,Suroeste,2015,Valparaiso,24.00,17.00,136.00
Permanentes,Aguacate,Urabá,2015,Apartadó,120.00,114.00,1710.00
Permanentes,Aguacate,Oriente,2015,San Francisco,3.00,0.00,0.00
Permanentes,Aguacate,Suroeste,2015,Jardín,78.00,78.00,936.00
Permanentes,Aguacate,Oriente,2015,Sonsón,1350.00,495.00,6930.00
Permanentes,Aguacate,Oriente,2015,La Unión,32.50,21.50,150.50
Permanentes,Aguacate,Oriente,2015,Guatapé,17.00,12.00,84.00
Permanentes,Aguacate,Oriente,2015,Argelia,17.00,15.00,60.00
Permanentes,Aguacate,Suroeste,2015,Urrao,10.00,10.00,360.00
Permanentes,Aguacate,Suroeste,2015,Titiribí,17.00,17.00,93.50
Permanentes,Aguacate,Suroeste,2015,Santa Bárbara,622.00,605.00,4840.00
Permanentes,Aguacate,Occidente,2015,Uramita,70.00,37.00,92.50
Permanentes,Aguacate,Occidente,2015,Peque,36.00,32.00,48.00
Permanentes,Aguacate,Occidente,2015,Anzá,6.00,0.00,0.00
Permanentes,Aguacate,Norte,2015,Toledo,4.00,4.00,32.00
Permanentes,Aguacate,Norte,2015,San Andrés De Cuerquia,8.00,7.00,42.00
Permanentes,Aguacate,Valle de Aburra,2015,Medellín,33.00,28.00,168.00
Permanentes,Aguacate,Valle de Aburra,2015,Girardota,7.00,5.00,35.00
Permanentes,Aguacate,Valle de Aburra,2015,La Estrella,5.00,5.00,35.00
Permanentes,Aguacate,Norte,2015,Valdivia,65.40,28.40,238.56
Permanentes,Aguacate,Magdalena Medio,2015,Caracolí,16.00,15.00,75.00
Permanentes,Aguacate,Urabá,2015,Vigía Del Fuerte,22.50,20.00,160.00
Permanentes,Aguacate,Urabá,2015,Turbo,413.00,208.00,2080.00
Permanentes,Aguacate,Oriente,2015,San Carlos,16.00,16.00,48.00
Permanentes,Aguacate Hass,Valle de Aburra,2015,Caldas,12.00,11.50,46.00
Permanentes,Aguacate Hass,Occidente,2015,Frontino,33.00,33.00,82.50
Permanentes,Aguacate Hass,Suroeste,2015,Montebello,238.00,208.00,1248.00
Permanentes,Aguacate Hass,Suroeste,2015,Caramanta,10.00,10.00,120.00
Permanentes,Aguacate Hass,Oriente,2015,Rionegro,185.00,180.00,1440.00
Permanentes,Aguacate Hass,Oriente,2015,El Retiro,697.00,265.00,5300.00
Permanentes,Aguacate Hass,Oriente,2015,La Ceja,362.00,350.00,2800.00
Permanentes,Aguacate Hass,Norte,2015,Santa Rosa De Osos,7.50,3.50,28.00
Permanentes,Aguacate Hass,Occidente,2015,Santa Fe De Antioquia,10.50,0.00,0.00
Permanentes,Aguacate Hass,Suroeste,2015,Fredonia,50.00,49.00,171.50
Permanentes,Aguacate Hass,Oriente,2015,San Vicente,225.00,169.00,1690.00
Permanentes,Aguacate Hass,Oriente,2015,Marinilla,217.00,118.00,826.00
Permanentes,Aguacate Hass,Oriente,2015,Guarne,356.00,300.00,2700.00
Permanentes,Aguacate Hass,Oriente,2015,Granada,27.00,16.00,110.40
Permanentes,Aguacate Hass,Oriente,2015,El Carmen De Viboral,350.00,335.00,2680.00
Permanentes,Aguacate Hass,Oriente,2015,El Santuario,198.00,93.00,558.00
Permanentes,Aguacate Hass,Oriente,2015,El Peñol,519.00,290.00,2320.00
Permanentes,Aguacate Hass,Oriente,2015,Concepción,15.00,15.00,45.00
Permanentes,Aguacate Hass,Oriente,2015,Abejorral,436.00,317.00,3011.50
Permanentes,Aguacate Hass,Suroeste,2015,Venecia,37.00,35.50,159.75
Permanentes,Aguacate Hass,Suroeste,2015,Urrao,2623.00,295.00,10620.00
Permanentes,Aguacate Hass,Suroeste,2015,Tarso,31.40,29.40,176.40
Permanentes,Aguacate Hass,Suroeste,2015,Támesis,60.30,60.30,289.44
Permanentes,Aguacate Hass,Suroeste,2015,Salgar,94.90,39.00,429.00
Permanentes,Aguacate Hass,Suroeste,2015,Jericó,90.00,80.00,480.00
Permanentes,Aguacate Hass,Suroeste,2015,Concordia,10.00,8.00,96.00
Permanentes,Aguacate Hass,Suroeste,2015,Betulia,54.00,34.00,340.00
Permanentes,Aguacate Hass,Suroeste,2015,Angelópolis,38.00,37.00,444.00
