ANO;CLASE_ACCIDENTE;DIRECCION;DIRECCION ENCASILLADA;DISENO;EXPEDIENTE;FECHA_ACCIDENTE;FECHA_ACCIDENTES;GRAVEDAD_ACCIDENTE;MES;NRO_RADICADO;NUMCOMUNA;BARRIO;COMUNA;LOCATION;X;Y
2019;Caida Ocupante;CR 63 CL 67;CR  063   067  000 00000;Tramo de via;A000923126;9/01/2019 4:55;2019-01-09T09:55:00.000Z;Con heridos;1;1656008;5;Caribe;Castilla;[-75.5742390745, 6.26534417189];834354.7;1184817.25
2019;Choque;CR 33 CL 65 B;CR  033   065 B  000 00000;Tramo de via;A000923127;9/01/2019 6:41;2019-01-09T11:41:00.000Z;Con heridos;1;1656077;Sin Inf;;;[-75.7037762763, 6.22141524356];820000;1180000
2019;Caida Ocupante;CL 37 CR 50;CL  037   050  000 00000;Tramo de via;A000923128;9/01/2019 7:00;2019-01-09T12:00:00.000Z;Con heridos;1;1656057;10;Calle Nueva;La Candelaria;[-75.5725073912, 6.23814798176];834537.84;1181808.14
2019;Atropello;CL 56 C CR 81;CL  056 C   081  000 00000;Lote o Predio;A000923191;9/01/2019 7:30;2019-01-09T12:30:00.000Z;Con heridos;1;1655991;13;El Pesebre;San Javier;[-75.5962809375, 6.27171675142];831916.78;1185529.23
2019;Choque;CR 65 CL 44;CR  065   044  000 00000;Interseccion;A000923206;9/01/2019 15:45;2019-01-09T20:45:00.000Z;Con heridos;1;1656087;11;Naranjal;Laureles Estadio;[-75.5832660993, 6.248522406];833350.11;1182959.2
2019;Volcamiento;CL 63 CR 91;CL  063   091  000 00000;Tramo de via;A000923197;9/01/2019 16:00;2019-01-09T21:00:00.000Z;Con heridos;1;1656035;7;Cucaracho;Robledo;[-75.6012371392, 6.27797150547];831370.16;1186222.76
2019;Otro;CL 120 CR 64 AA;CL  120   064 AA 000 00000;Tramo de via;A000923201;9/01/2019 16:30;2019-01-09T21:30:00.000Z;Con heridos;1;1656052;5;Toscana;Castilla;[-75.5581231671, 6.3109661409];836152.95;1189859.07
2019;Caida Ocupante;CR 52 CL 10;CR  052   010  000 00000;Tramo de via;A000923204;9/01/2019 18:40;2019-01-09T23:40:00.000Z;Con heridos;1;1656091;15;Campo Amor;Guayabal;[-75.5813197209, 6.21466206481];833554.9;1179212.79
2019;Caida Ocupante;CR 65 CL 97;CR  065   097  000 00000;Lote o Predio;A000923226;9/01/2019 22:30;2019-01-10T03:30:00.000Z;Con heridos;1;1656164;5;Castilla;Castilla;[-75.5696995962, 6.29164235009];834865.49;1187725.04
2019;Choque;CR 50 CL 35;CR  050   035  000 00000;Interseccion;A000923234;10/01/2019 6:20;2019-01-10T11:20:00.000Z;Con heridos;1;1656179;10;Perpetuo Socorro;La Candelaria;[-75.5732340579, 6.23624660989];834456.8;1181598.03
2019;Caida Ocupante;CR 999 CL 999;CR  999   999  000 00000;Tramo de via;A000923238;10/01/2019 6:30;2019-01-10T11:30:00.000Z;Con heridos;1;1656128;Sin Inf;;;[-75.7037762763, 6.22141524356];820000;1180000
2019;Choque;TV 39 B CL 70;TV  039 B   070  000 00000;Tramo de via;A000923243;10/01/2019 9:40;2019-01-10T14:40:00.000Z;Con heridos;1;1656174;11;U.P.B.;Laureles Estadio;[-75.5902755931, 6.23946819204];832571.28;1181959.8
2019;Caida Ocupante;CR 91 CL 80;CR  091   080  000 00000;Lote o Predio;A000923299;10/01/2019 11:30;2019-01-10T16:30:00.000Z;Con heridos;1;1656125;7;Aures No. 2;Robledo;[-75.5909174513, 6.28877797983];832515.95;1187414.92
2019;Choque;CR 48 CL 7;CR  048   007  000 00000;Interseccion;A000923289;10/01/2019 13:19;2019-01-10T18:19:00.000Z;Con heridos;1;1656217;14;Patio Bonito;El Poblado;[-75.5765743781, 6.20874755798];834078.39;1178557.01
2019;Caida Ocupante;CR 80 CL 65;CR  080   065  000 00000;Tramo de via;A000923294;10/01/2019 17:50;2019-01-10T22:50:00.000Z;Con heridos;1;1656092;7;Facultad de Minas U. Nacional;Robledo;[-75.5931430393, 6.27330476643];832264.64;1185703.9
2019;Choque;CR 45 CL 53;CR  045   053  000 00000;Tramo de via;A000923302;10/01/2019 18:30;2019-01-10T23:30:00.000Z;Con heridos;1;1656222;10;La Candelaria;La Candelaria;[-75.563055799, 6.24963525706];835587.73;1183075.95
2019;Caida Ocupante;CL 67 CR 51;CL  067   051  000 00000;Glorieta;A000923312;10/01/2019 18:40;2019-01-10T23:40:00.000Z;Con heridos;1;1656190;4;Sevilla;Aranjuez;[-75.563347148, 6.26412703653];835560.01;1184679.18
2019;Otro;CR 43 A CL 19;CR  043 A   019  000 00000;Lote o Predio;A000923308;10/01/2019 18:51;2019-01-10T23:51:00.000Z;Con heridos;1;1656123;14;Castropol;El Poblado;[-75.5693952188, 6.22003391849];834876.7;1179803.31
2019;Choque;CR 50 CL 20;CR  050   020  000 00000;Tramo de via;A000923311;10/01/2019 21:40;2019-01-11T02:40:00.000Z;Con heridos;1;1656245;Sin Inf;;;[-75.7037762763, 6.22141524356];820000;1180000
2019;Choque;CR 63 CL 50;CR  063   050  000 00000;Tramo de via;A000923322;11/01/2019 6:07;2019-01-11T11:07:00.000Z;Con heridos;1;1656249;11;Carlos E. Restrepo;Laureles Estadio;[-75.5776455195, 6.25436112717];833974.15;1183603.33
2019;Caida Ocupante;CR 70 CL 4;CR  070   004  000 00000;Lote o Predio;A000923329;11/01/2019 7:00;2019-01-11T12:00:00.000Z;Con heridos;1;1656497;11;Bolivariana;Laureles Estadio;[-75.5891251499, 6.24640851914];832700.84;1182727.21
2019;Atropello;CL 50 CR 64 B;CL  050   064 B  000 00000;Tramo de via;A000923333;11/01/2019 9:00;2019-01-11T14:00:00.000Z;Con heridos;1;1656279;11;Carlos E. Restrepo;Laureles Estadio;[-75.5795335662, 6.25532378033];833765.45;1183710.42
2019;Otro;CR 62 CL 92;CR  062   092  000 00000;Tramo de via;A000923340;11/01/2019 9:40;2019-01-11T14:40:00.000Z;Con heridos;1;1656198;Sin Inf;;;[-75.7037762763, 6.22141524356];820000;1180000
2019;Atropello;CR 61 CL 54;CR  061   054  000 00000;Tramo de via;A000923332;11/01/2019 10:00;2019-01-11T15:00:00.000Z;Con heridos;1;1656251;80;Cabecera San Antonio de Prado;Corregimiento de San Antonio de Prado;[-75.642543456, 6.17476896712];826763.89;1174819.16
2019;Choque;CR 42 CL 43;CR  042   043  000 00000;Interseccion;A000923342;11/01/2019 11:00;2019-01-11T16:00:00.000Z;Con heridos;1;1656252;10;Las Palmas;La Candelaria;[-75.5645179136, 6.24142332411];835423.31;1182167.97
2019;Atropello;CR 9 CL 54;CR  009   054  000 00000;Tramo de via;A000923395;11/01/2019 11:10;2019-01-11T16:10:00.000Z;Con heridos;1;1656208;8;Las Estancias;Villa Hermosa;[-75.5360809431, 6.23419523007];838569.07;1181359.58
2019;Choque;CL 44 CR 73;CL  044   073  000 00000;Tramo de via;A000923344;11/01/2019 12:10;2019-01-11T17:10:00.000Z;Con heridos;1;1656266;11;Florida Nueva;Laureles Estadio;[-75.5923224714, 6.24960111841];832347.91;1183081.41
2019;Choque;CR 65 CL 80;CR  065   080  000 00000;Tramo de via;A000922652;2/01/2019 19:10;2019-01-03T00:10:00.000Z;Con heridos;1;1655545;5;Terminal de Transporte;Castilla;[-75.573496302, 6.27627044541];834440.37;1186025.73
2019;Otro;CR 116 CL 64 B;CR  116   064 B  000 00000;Tramo de via;A000922646;2/01/2019 20:00;2019-01-03T01:00:00.000Z;Con heridos;1;1655370;Sin Inf;;;[-75.7037762763, 6.22141524356];820000;1180000
2019;Volcamiento;CR 45 CL 67;CR  045   067  000 00000;Lote o Predio;A000922683;2/01/2019 22:00;2019-01-03T03:00:00.000Z;Con heridos;1;1655550;3;Manrique Central No. 2;Manrique;[-75.5555813857, 6.2631762147];836419.35;1184571.57
2019;Choque;CR 29 CL 51;CR  029   051  000 00000;Interseccion;A000922659;2/01/2019 23:30;2019-01-03T04:30:00.000Z;Con heridos;1;1655507;9;Barrio Caicedo;Buenos Aires;[-75.5513162827, 6.24179418752];836884.85;1182204.89
2019;Choque;CR 63 CL 79;CR  063   079  000 00000;Tramo de via;A000922664;3/01/2019 5:30;2019-01-03T10:30:00.000Z;Con heridos;1;1655597;Sin Inf;;;[-75.7037762763, 6.22141524356];820000;1180000
2019;Choque;CR 57 CL 41;CR  057   041  000 00000;Tramo de via;A000922672;3/01/2019 6:00;2019-01-03T11:00:00.000Z;Con heridos;1;1655606;10;Inst;La Candelaria;[-75.5767528354, 6.24240133227];834069.2;1182280
2019;Otro;CR 50 CL 4 Sur;CR  050  S 004  000 00000;Tramo de via;A000922663;3/01/2019 6:10;2019-01-03T11:10:00.000Z;Con heridos;1;1655631;15;Cristo Rey;Guayabal;[-75.5798815265, 6.20300374377];833710.46;1177922.64
2019;Caida Ocupante;CR 63 CL 42;CR  063   042  000 00000;Lote o Predio;A000922669;3/01/2019 7:30;2019-01-03T12:30:00.000Z;Con heridos;1;1655532;11;Naranjal;Laureles Estadio;[-75.5814918954, 6.25005796995];833547;1183128.51
2019;Choque;CR 50 CL 28;CR  050   028  000 00000;Tramo de via;A000922665;3/01/2019 8:00;2019-01-03T13:00:00.000Z;Con heridos;1;1655527;10;Perpetuo Socorro;La Candelaria;[-75.5750506525, 6.23118696484];834254.11;1181038.88
2019;Choque;CR 52 CL 2 Sur;CR  052  S 002  000 00000;Tramo de via;A000922688;3/01/2019 13:00;2019-01-03T18:00:00.000Z;Con heridos;1;1655592;15;Cristo Rey;Guayabal;[-75.5860008885, 6.2066953722];833034.15;1178332.95
2019;Caida Ocupante;CL 54 CR 58;CL  054   058  000 00000;Interseccion;A000922680;3/01/2019 14:30;2019-01-03T19:30:00.000Z;Con heridos;1;1655503;10;San Benito;La Candelaria;[-75.5743969791, 6.25607986722];834334.3;1183792.44
